"","id","imdbId","movieId","tmdbId","original_title","title","popularity","release_date","revenue","runtime","budget","vote_average","vote_count","original_language"
"49",13685,"0115734",101,13685,"Bottle Rocket","Bottle Rocket",6.904831,1996-02-21,560069,91,7e+06,6.8,285,"en"
"50",9614,"0116483",104,9614,"Happy Gilmore","Happy Gilmore",9.592265,1996-02-16,41205099,92,1.2e+07,6.5,767,"en"
"51",688,"0112579",105,688,"The Bridges of Madison County","The Bridges of Madison County",5.951077,1995-05-28,182016617,135,2.4e+07,7.3,397,"en"
"52",197,"0112573",110,197,"Braveheart","Braveheart",20.755149,1995-05-24,2.1e+08,177,7.2e+07,7.7,3404,"en"
"53",103,"0075314",111,103,"Taxi Driver","Taxi Driver",14.092713,1976-02-07,28262574,114,1300000,8.1,2632,"en"
"54",33542,"0113326",112,33542,"紅番區","Rumble in the Bronx",12.314278,1995-01-30,32392047,91,7500000,6.5,245,"cn"
"55",11066,"0103859",122,11066,"Boomerang","Boomerang",6.506983,1992-06-30,70100000,117,4e+07,5.4,139,"en"
"56",11104,"0109424",123,11104,"重慶森林","Chungking Express",6.778979,1994-07-14,NA,102,NA,7.9,249,"cn"
"57",27793,"0110647",126,27793,"The NeverEnding Story III","The Neverending Story III: Escape from Fantasia",6.252377,1994-10-26,NA,95,1.7e+07,4.4,105,"en"
"58",9101,"0116130",135,9101,"Down Periscope","Down Periscope",5.184977,1996-03-01,NA,92,NA,5.6,110,"en"
"59",11000,"0115685",141,11000,"The Birdcage","The Birdcage",6.49968,1996-03-08,185260553,117,3.1e+07,6.7,303,"en"
"60",9737,"0112442",145,9737,"Bad Boys","Bad Boys",9.262184,1995-04-07,141407024,118,1.9e+07,6.5,1729,"en"
"61",10474,"0112461",147,10474,"The Basketball Diaries","The Basketball Diaries",7.415144,1995-04-21,NA,102,NA,7.2,472,"en"
"62",568,"0112384",150,568,"Apollo 13","Apollo 13",18.761467,1995-06-30,355237933,140,5.2e+07,7.3,1637,"en"
"63",11780,"0114287",151,11780,"Rob Roy","Rob Roy",10.193549,1995-04-13,31596911,139,2.8e+07,6.5,151,"en"
"64",414,"0112462",153,414,"Batman Forever","Batman Forever",13.321354,1995-06-16,336529144,121,1e+08,5.2,1529,"en"
"65",649,"0061395",154,649,"Belle de jour","Belle de Jour",10.142662,1967-05-24,NA,101,NA,7.3,163,"fr"
"66",8839,"0112642",158,8839,"Casper","Casper",12.812539,1995-05-26,287928194,100,5e+07,6,1045,"en"
"67",10329,"0112715",160,10329,"Congo","Congo",7.260574,1995-06-09,152022101,109,5e+07,5,214,"en"
"68",8963,"0112740",161,8963,"Crimson Tide","Crimson Tide",8.657365,1995-05-12,157387195,116,5.3e+07,7,508,"en"
"69",8068,"0112851",163,8068,"Desperado","Desperado",6.950458,1995-08-25,25405445,104,7e+06,6.8,898,"en"
"70",1572,"0112864",165,1572,"Die Hard: With a Vengeance","Die Hard: With a Vengeance",15.138855,1995-05-19,366101666,128,9e+07,6.9,2094,"en"
"71",6520,"0113071",168,6520,"First Knight","First Knight",15.178338,1995-07-07,127600435,134,5.5e+07,5.9,319,"en"
"72",9073,"0113114",169,9073,"Free Willy 2 - The Adventure Home","Free Willy 2 - The Adventure Home",7.575098,1995-07-19,NA,95,NA,5.5,130,"en"
"73",10428,"0113243",170,10428,"Hackers","Hackers",14.810519,1995-09-14,7563728,107,2e+07,6.2,406,"en"
"74",9886,"0113481",172,9886,"Johnny Mnemonic","Johnny Mnemonic",11.715868,1995-05-26,19075720,97,2.5e+07,5.5,380,"en"
"75",9482,"0113492",173,9482,"Judge Dredd","Judge Dredd",8.184815,1995-06-30,113493481,96,9e+07,5.4,643,"en"
"76",9344,"0113540",175,9344,"Kids","Kids",4.877872,1995-07-28,7412216,91,1500000,6.8,280,"en"
"77",2293,"0113749",180,2293,"Mallrats","Mallrats",8.25547,1995-10-20,2122561,94,6e+06,6.8,400,"en"
"78",9070,"0113820",181,9070,"Mighty Morphin Power Rangers: The Movie","Mighty Morphin Power Rangers: The Movie",7.024227,1995-06-30,6.6e+07,92,1.5e+07,5.2,153,"en"
"79",1642,"0113957",185,1642,"The Net","The Net",13.304342,1995-07-28,110627965,114,2.2e+07,5.6,359,"en"
"80",11472,"0113986",186,11472,"Nine Months","Nine Months",8.482834,1995-07-12,69660733,103,NA,5.5,171,"en"
"81",11980,"0114194",188,11980,"The Prophecy","The Prophecy",10.187623,1995-09-01,16,98,8,6.4,139,"en"
"82",10533,"0114345",191,10533,"The Scarlet Letter","The Scarlet Letter",6.752119,1995-10-13,10382407,135,5e+07,5.5,111,"en"
"83",10802,"0114436",193,10802,"Showgirls","Showgirls",17.502375,1995-09-22,20350754,128,4.5e+07,4.9,261,"en"
"84",10149,"0114478",194,10149,"Smoke","Smoke",5.552946,1995-06-09,8349430,112,7e+06,7.2,115,"en"
"85",9348,"0114508",196,9348,"Species","Species",13.492845,1995-07-07,113374103,108,3.5e+07,5.5,457,"en"
"86",281,"0114558",198,281,"Strange Days","Strange Days",11.223055,1995-10-13,7959291,145,4.2e+07,6.8,334,"en"
"87",5967,"0058450",199,5967,"Les parapluies de Cherbourg","The Umbrellas of Cherbourg",8.133881,1964-02-19,NA,91,NA,7.6,119,"fr"
"88",36834,"0114702",202,36834,"Total Eclipse","Total Eclipse",4.546552,1995-11-02,339889,111,NA,6.5,112,"en"
"89",9090,"0114682",203,9090,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,1995-09-07,47774193,105,NA,6.3,117,"en"
"90",3512,"0114781",204,3512,"Under Siege 2: Dark Territory","Under Siege 2: Dark Territory",7.490247,1995-07-13,104324083,100,6e+07,5.6,217,"en"
"91",9560,"0114887",207,9560,"A Walk in the Clouds","A Walk in the Clouds",9.715639,1995-08-11,50012507,103,2e+07,6.5,168,"en"
"92",9804,"0114898",208,9804,"Waterworld","Waterworld",16.885184,1995-07-28,264218220,135,1.75e+08,5.9,1017,"en"
"93",76,"0112471",215,76,"Before Sunrise","Before Sunrise",11.304979,1995-01-27,5535405,105,2500000,7.7,984,"en"
"94",11017,"0112508",216,11017,"Billy Madison","Billy Madison",6.638116,1995-02-10,26488734,89,1e+07,6.2,464,"en"
"95",2292,"0109445",223,2292,"Clerks","Clerks",10.513367,1994-09-13,3151130,92,27000,7.4,769,"en"
"96",1909,"0112883",224,1909,"Don Juan DeMarco","Don Juan DeMarco",7.438934,1994-10-01,22200000,97,2.5e+07,6.3,184,"en"
"97",8984,"0109635",225,8984,"Disclosure","Disclosure",11.812244,1994-12-09,214015089,123,5.5e+07,5.9,217,"en"
"98",11929,"0109642",230,11929,"Dolores Claiborne","Dolores Claiborne",5.8025,1995-03-24,NA,132,NA,7.1,183,"en"
"99",8467,"0109686",231,8467,"Dumb and Dumber","Dumb and Dumber",9.844558,1994-12-16,247275374,107,1.6e+07,6.5,1894,"en"
"100",522,"0109707",235,522,"Ed Wood","Ed Wood",11.720358,1994-09-27,5887457,127,1.8e+07,7.3,639,"en"
"101",397,"0113117",236,397,"French Kiss","French Kiss",9.146544,1995-05-05,NA,111,NA,6.2,179,"en"
"102",15789,"0113198",239,15789,"A Goofy Movie","A Goofy Movie",10.177977,1995-04-07,35348597,78,NA,6.7,404,"en"
"103",1024,"0110005",247,1024,"Heavenly Creatures","Heavenly Creatures",9.438042,1994-09-02,3049135,99,5e+06,6.9,299,"en"
"104",11777,"0110099",252,11777,"I.Q.","I.Q.",5.146352,1994-12-24,NA,100,2.5e+07,5.9,112,"en"
"105",628,"0110148",253,628,"Interview with the Vampire","Interview with the Vampire",11.970205,1994-11-11,223664608,123,6e+07,7.2,1558,"en"
"106",6280,"0110216",256,6280,"Junior","Junior",6.710215,1994-11-22,3.7e+07,109,6e+07,4.7,381,"en"
"107",9061,"0113501",257,9061,"Just Cause","Just Cause",9.195256,1995-02-17,NA,102,NA,6,124,"en"
"108",11,"0076759",260,11,"Star Wars","Star Wars",42.149697,1977-05-25,775398007,121,1.1e+07,8.1,6778,"en"
"109",9587,"0110367",261,9587,"Little Women","Little Women",9.774994,1994-12-21,NA,115,1.8e+07,7,222,"en"
"110",19101,"0113670",262,19101,"A Little Princess","A Little Princess",7.731725,1995-05-10,NA,97,1.7e+07,7.4,207,"en"
"111",4476,"0110322",266,4476,"Legends of the Fall","Legends of the Fall",12.199047,1994-12-16,160638883,133,3e+07,7.2,636,"en"
"112",11008,"0110443",267,11008,"Major Payne","Major Payne",9.253362,1995-03-24,NA,95,NA,6.1,164,"en"
"113",3036,"0109836",273,3036,"Frankenstein","Mary Shelley's Frankenstein",14.287753,1994-11-04,112006296,123,4.5e+07,6.1,272,"en"
"114",10510,"0110527",277,10510,"Miracle on 34th Street","Miracle on 34th Street",5.831622,1994-11-18,46264384,114,NA,6.4,199,"en"
"115",8438,"0113870",280,8438,"Murder in the First","Murder in the First",9.518564,1995-01-20,17381942,122,NA,6.9,140,"en"
"116",1945,"0110638",282,1945,"Nell","Nell",5.930957,1994-12-23,106683817,112,3.1e+07,6.1,128,"en"
"117",241,"0110632",288,241,"Natural Born Killers","Natural Born Killers",11.226856,1994-08-25,50282766,119,3.4e+07,6.9,927,"en"
"118",527,"0110729",290,527,"Once Were Warriors","Once Were Warriors",4.025276,1994-09-02,2201126,99,NA,7.6,106,"en"
"119",6950,"0114069",292,6950,"Outbreak","Outbreak",13.676444,1995-03-10,189859560,127,5e+07,6.4,522,"en"
"120",101,"0110413",293,101,"Léon","Leon: The Professional",20.477329,1994-09-14,45284974,110,1.6e+07,8.2,4293,"fr"
"121",680,"0110912",296,680,"Pulp Fiction","Pulp Fiction",140.950236,1994-09-10,213928762,154,8e+06,8.3,8670,"en"
"122",11450,"0110932",300,11450,"Quiz Show","Quiz Show",7.772505,1994-09-16,NA,133,NA,7.1,262,"en"
"123",12106,"0114214",303,12106,"The Quick and the Dead","The Quick and the Dead",7.54701,1995-02-09,18552460,107,3.2e+07,6.2,431,"en"
"124",110,"0111495",306,110,"Trois couleurs : Rouge","Three Colors: Red",7.832755,1994-05-27,NA,99,NA,7.8,246,"fr"
"125",108,"0108394",307,108,"Trois couleurs : Bleu","Three Colors: Blue",8.843517,1993-01-10,NA,98,NA,7.7,311,"fr"
"126",109,"0111507",308,109,"Trois couleurs : Blanc","Three Colors: White",6.5898,1994-01-26,NA,91,NA,7.3,218,"fr"
"127",22586,"0111333",313,22586,"The Swan Princess","The Swan Princess",8.910462,1994-11-18,9771658,89,3.5e+07,6.5,251,"en"
"128",2636,"0111255",315,2636,"The Specialist","The Specialist",10.388183,1994-10-07,170362582,110,4.5e+07,5.5,317,"en"
"129",2164,"0111282",316,2164,"Stargate","Stargate",13.328924,1994-10-27,196567262,121,5.5e+07,6.8,942,"en"
"130",11395,"0111070",317,11395,"The Santa Clause","The Santa Clause",9.665424,1994-11-10,189833357,97,2.2e+07,6.3,501,"en"
"131",278,"0111161",318,278,"The Shawshank Redemption","The Shawshank Redemption",51.645403,1994-09-23,28341469,142,2.5e+07,8.5,8358,"en"
"132",9905,"0111149",319,9905,"Shallow Grave","Shallow Grave",8.223026,1994-12-22,NA,92,NA,7,247,"en"
"133",20306,"0114594",322,20306,"Swimming with Sharks","Swimming with Sharks",5.869261,1994-09-10,NA,101,NA,6.7,104,"en"
"134",9067,"0114614",327,9067,"Tank Girl","Tank Girl",7.602087,1995-03-31,4064495,98,2.5e+07,5.5,140,"en"
"135",193,"0111280",329,193,"Star Trek: Generations","Star Trek: Generations",8.105708,1994-11-17,1.2e+08,118,3.8e+07,6.4,461,"en"
"136",12122,"0114852",332,12122,"Village of the Damned","Village of the Damned",6.529879,1995-04-28,NA,99,NA,5.6,165,"en"
"137",11381,"0114694",333,11381,"Tommy Boy","Tommy Boy",11.971318,1995-03-31,32648673,97,NA,6.8,321,"en"
"138",1587,"0108550",337,1587,"What's Eating Gilbert Grape","What's Eating Gilbert Grape",10.3919,1993-12-17,10032765,118,1.1e+07,7.5,943,"en"
"139",9271,"0114857",338,9271,"Virtuosity","Virtuosity",5.188399,1995-08-04,24048000,106,3e+07,5.4,163,"en"
"140",2064,"0114924",339,2064,"While You Were Sleeping","While You Were Sleeping",15.783615,1995-04-21,182057016,103,1.7e+07,6.5,340,"en"
"141",236,"0110598",342,236,"Muriel's Wedding","Muriel's Wedding",5.254847,1994-09-29,15119639,106,3e+06,6.9,104,"en"
"142",3049,"0109040",344,3049,"Ace Ventura: Pet Detective","Ace Ventura: Pet Detective",11.247957,1994-02-04,107217396,86,1.5e+07,6.4,1684,"en"
"143",2759,"0109045",345,2759,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",8.328596,1994-05-31,11220670,104,NA,7.2,174,"en"
"144",10497,"0104779",347,10497,"Bitter Moon","Bitter Moon",11.298195,1992-09-02,1862805,139,5e+06,7,115,"en"
"145",11382,"0109348",348,11382,"Bullets Over Broadway","Bullets Over Broadway",5.72288,1994-10-14,NA,98,NA,7,130,"en"
"146",9331,"0109444",349,9331,"Clear and Present Danger","Clear and Present Danger",7.513245,1994-08-03,215887717,141,6.2e+07,6.4,390,"en"
"147",10731,"0109446",350,10731,"The Client","The Client",15.263829,1994-07-20,117615211,119,4.5e+07,6.4,287,"en"
"148",9495,"0109506",353,9495,"The Crow","The Crow",15.799336,1994-05-11,9.4e+07,102,1.5e+07,7.3,980,"en"
"149",888,"0109813",355,888,"The Flintstones","The Flintstones",15.019586,1994-05-26,341631208,91,4.6e+07,5,559,"en"
"150",13,"0109830",356,13,"Forrest Gump","Forrest Gump",48.307194,1994-07-06,677945399,142,5.5e+07,8.2,8147,"en"
"151",712,"0109831",357,712,"Four Weddings and a Funeral","Four Weddings and a Funeral",8.990345,1994-03-09,254700832,117,6e+06,6.6,654,"en"
"152",10660,"0110167",361,10660,"It Could Happen to You","It Could Happen to You",11.272073,1994-07-29,NA,101,NA,6.1,154,"en"
"153",10714,"0110213",362,10714,"The Jungle Book","The Jungle Book",10.714235,1994-12-23,NA,111,NA,5.9,107,"en"
"154",8587,"0110357",364,8587,"The Lion King","The Lion King",21.605761,1994-06-23,788241776,89,4.5e+07,8,5520,"en"
"155",11596,"0111686",366,11596,"New Nightmare","New Nightmare",9.860522,1994-10-13,18090181,112,1.4e+07,6.4,297,"en"
"156",854,"0110475",367,854,"The Mask","The Mask",14.13488,1994-07-29,351583407,101,2.3e+07,6.6,2550,"en"
"157",9359,"0110478",368,9359,"Maverick","Maverick",15.050326,1994-05-20,NA,127,NA,6.6,490,"en"
"158",36593,"0110622",370,36593,"The Naked Gun 33⅓: The Final Insult","The Naked Gun 33⅓: The Final Insult",10.587232,1994-03-18,51132598,83,3e+07,6.4,535,"en"
"159",2788,"0110950",372,2788,"Reality Bites","Reality Bites",6.514592,1994-02-18,20079850,99,11500000,6.5,180,"en"
"160",11011,"0110989",374,11011,"Ri¢hie Ri¢h","Ri¢hie Ri¢h",6.595255,1994-12-19,NA,95,4e+07,5.4,426,"en"
"161",8987,"0110997",376,8987,"The River Wild","The River Wild",10.511241,1994-09-30,NA,111,4.5e+07,6.1,214,"en"
"162",1637,"0111257",377,1637,"Speed","Speed",10.859292,1994-06-09,350448145,116,3e+07,6.8,1814,"en"
"163",8831,"0111438",379,8831,"Timecop","Timecop",8.907074,1994-09-15,101646581,99,2.7e+07,5.5,288,"en"
"164",36955,"0111503",380,36955,"True Lies","True Lies",11.396099,1994-07-14,378882411,141,1.15e+08,6.8,1138,"en"
"165",10395,"0111742",382,10395,"Wolf","Wolf",14.063845,1994-06-17,NA,125,NA,6,221,"en"
"166",12160,"0111756",383,12160,"Wyatt Earp","Wyatt Earp",9.277147,1994-06-24,25052000,191,6.3e+07,6.5,203,"en"
"167",11667,"0111301",393,11667,"Street Fighter","Street Fighter",13.58449,1994-12-22,99423521,102,3.5e+07,4.1,330,"en"
"168",8011,"0110027",405,8011,"Highlander III: The Sorcerer","Highlander: The Final Dimension",6.866634,1994-11-29,36800000,99,2.6e+07,4.5,110,"en"
"169",2654,"0113409",407,2654,"In the Mouth of Madness","In the Mouth of Madness",8.497643,1994-12-12,8946600,95,8e+06,7.1,307,"en"
"170",2758,"0106220",410,2758,"Addams Family Values","Addams Family Values",17.555909,1993-11-19,48919043,94,NA,6.5,537,"en"
"171",10436,"0106226",412,10436,"The Age of Innocence","The Age of Innocence",8.013617,1993-09-17,32255440,139,3.4e+07,7,172,"en"
"172",13595,"0109068",413,13595,"Airheads","Airheads",7.09232,1994-08-05,NA,92,NA,5.8,222,"en"
"173",306,"0109254",420,306,"Beverly Hills Cop III","Beverly Hills Cop III",11.787784,1994-05-24,119208989,104,5e+07,5.5,445,"en"
"174",178,"0109303",423,178,"Blown Away","Blown Away",13.155071,1994-07-01,30156002,121,NA,6,126,"en"
"175",4722,"0106452",426,4722,"Body Snatchers","Body Snatchers",6.559693,1993-06-09,428868,87,1.3e+07,5.8,102,"en"
"176",1607,"0106489",428,1607,"A Bronx Tale","A Bronx Tale",6.115628,1993-09-14,17287898,121,2.2e+07,7.4,447,"en"
"177",6075,"0106519",431,6075,"Carlito's Way","Carlito's Way",8.698509,1993-11-10,36516012,144,3e+07,7.7,805,"en"
"178",11310,"0109439",432,11310,"City Slickers II: The Legend of Curly's Gold","City Slickers II: The Legend of Curly's Gold",8.605703,1994-06-10,NA,116,NA,4.9,103,"en"
"179",9350,"0106582",434,9350,"Cliffhanger","Cliffhanger",9.830853,1993-05-28,255000211,112,7e+07,6.1,600,"en"
"180",9612,"0106598",435,9612,"Coneheads","Coneheads",10.722729,1993-07-23,NA,88,NA,4.8,228,"en"
"181",2124,"0109456",436,2124,"Color of Night","Color of Night",14.228963,1994-08-19,19726050,121,4e+07,5.4,117,"en"
"182",11566,"0106673",440,11566,"Dave","Dave",13.696394,1993-05-07,6.3e+07,110,NA,6.3,205,"en"
"183",9571,"0106677",441,9571,"Dazed and Confused","Dazed and Confused",6.8652,1993-09-24,7993039,102,6900000,7.4,588,"en"
"184",9739,"0106697",442,9739,"Demolition Man","Demolition Man",11.626116,1993-10-08,159055768,115,5.7e+07,6.4,1018,"en"
"185",37233,"0106918",454,37233,"The Firm","The Firm",9.678367,1993-06-30,270248367,154,4.2e+07,6.6,513,"en"
"186",1634,"0106965",455,1634,"Free Willy","Free Willy",5.990572,1993-07-16,153698625,112,2e+07,6,429,"en"
"187",5503,"0106977",457,5503,"The Fugitive","The Fugitive",10.08937,1993-08-06,368875760,130,4.4e+07,7.2,1240,"en"
"188",2019,"0107076",464,2019,"Hard Target","Hard Target",7.834351,1993-08-20,74189677,97,1.8e+07,6.1,237,"en"
"189",9255,"0107144",466,9255,"Hot Shots! Part Deux","Hot Shots! Part Deux",13.482371,1993-05-21,133752825,86,2.5e+07,6.2,463,"en"
"190",2259,"0107151",469,2259,"The House of the Spirits","The House of the Spirits",10.687795,1993-10-19,NA,140,2.5e+07,6.7,135,"en"
"191",11934,"0110074",471,11934,"The Hudsucker Proxy","The Hudsucker Proxy",7.550545,1994-03-11,NA,111,3e+07,7.1,280,"en"
"192",9386,"0107206",474,9386,"In the Line of Fire","In the Line of Fire",12.637158,1993-07-08,176997168,128,4e+07,6.8,392,"en"
"193",7984,"0107207",475,7984,"In the Name of the Father","In the Name of the Father",7.405895,1993-12-12,65796862,133,1.3e+07,7.6,363,"en"
"194",329,"0107290",480,329,"Jurassic Park","Jurassic Park",8.863776,1993-06-11,920100000,127,6.3e+07,7.6,4956,"en"
"195",10909,"0107302",481,10909,"Kalifornia","Kalifornia",8.4337,1993-09-01,2395231,117,9e+06,6.5,209,"en"
"196",507,"0110265",482,507,"Killing Zoe","Killing Zoe",4.948569,1993-10-01,418961,96,1500000,6.1,111,"en"
"197",9593,"0107362",485,9593,"Last Action Hero","Last Action Hero",9.434006,1993-06-18,137298489,130,8.5e+07,6.1,725,"en"
"198",2246,"0107497",490,2246,"Malice","Malice",9.861672,1993-09-29,46405336,107,NA,5.9,105,"en"
"199",10502,"0107501",491,10502,"The Man without a Face","The Man without a Face",5.997712,1993-08-25,24760338,114,NA,6.2,125,"en"
"200",10440,"0107507",492,10440,"Manhattan Murder Mystery","Manhattan Murder Mystery",8.939404,1993-08-18,11285588,104,13500000,7.1,169,"en"
"201",9516,"0107554",493,9516,"Menace II Society","Menace II Society",5.260924,1993-05-26,27900000,97,3500000,7.2,179,"en"
"202",2320,"0116253",494,2320,"Executive Decision","Executive Decision",13.106291,1996-03-15,121969216,133,5.5e+07,5.8,261,"en"
"203",5879,"0074102",495,5879,"愛のコリーダ","In the Realm of the Senses",8.932494,1976-05-15,NA,105,NA,6.5,112,"ja"
"204",11971,"0107616",497,11971,"Much Ado About Nothing","Much Ado About Nothing",8.62724,1993-05-07,NA,111,8e+06,7.2,194,"en"
"205",788,"0107614",500,788,"Mrs. Doubtfire","Mrs. Doubtfire",11.16553,1993-11-24,441286195,125,2.5e+07,7,1638,"en"
"206",21450,"0107653",501,21450,"Naked","Naked",8.665198,1993-09-14,NA,131,NA,7.5,105,"en"
"207",11231,"0110657",502,11231,"The Next Karate Kid","The Next Karate Kid",9.9697,1994-07-18,15826984,107,1.2e+07,4.8,202,"en"
"208",9559,"0107808",507,9559,"A Perfect World","A Perfect World",8.040589,1993-11-24,135130999,138,3e+07,7.2,376,"en"
"209",9800,"0107818",508,9800,"Philadelphia","Philadelphia",13.373006,1993-12-22,206678440,125,2.6e+07,7.6,1019,"en"
